,Name,Position,Age,Overall_Rating,Potential,Duration,Team,Value € M,Wage € K,Total_Stats,photo_link
0,Arthur Vermeeren,CM,17,70,87,2022 ~ 2026,Antwerp,3.8,500,1765,https://cdn.sofifa.net/players/269/859/23_180.png
1,Manuel Ugarte,CM,21,79,85,2021 ~ 2026,Sporting CP,26,11,1950,https://cdn.sofifa.net/players/253/306/23_180.png
2,Georges Mikautadze,CAM,21,71,81,2019 ~ 2026,Metz,4.2,5,1862,https://cdn.sofifa.net/players/254/551/23_180.png
3,Julio César Enciso,CAM,18,65,83,2022 ~ 2026,Brighton & Hove Albion,1.8,5,1589,https://cdn.sofifa.net/players/255/434/23_180.png
4,Israel Reyes,CDM,22,75,83,Free,Mexico,0,0,2087,https://cdn.sofifa.net/players/252/008/23_180.png
5,Andrés Iniesta Luján,CM,37,79,79,2018 ~ 2024,Vissel Kobe,5.5,10,1918,https://cdn.sofifa.net/players/000/041/22_180.png
6,Randal Kolo Muani,RM,23,82,86,2022 ~ 2027,Eintracht Frankfurt,44,40,1989,https://cdn.sofifa.net/players/237/679/23_180.png
7,Declan Rice,CM,23,84,87,2015 ~ 2024,West Ham United,52,83,2089,https://cdn.sofifa.net/players/234/378/23_180.png
8,Mason Mount,CM,23,82,85,2016 ~ 2024,Chelsea,41.5,110,2109,https://cdn.sofifa.net/players/233/064/23_180.png
9,Evan Ferguson,CF,17,69,85,2021 ~ 2028,Brighton & Hove Albion,3.5,6,1623,https://cdn.sofifa.net/players/259/608/23_180.png
10,Martín Zubimendi Ibáñez,CM,23,79,85,2018 ~ 2027,Real Sociedad,25.5,29,2023,https://cdn.sofifa.net/players/248/148/23_180.png
11,Sacha Boey,RB,21,78,83,2021 ~ 2025,Galatasaray,20,42,1966,https://cdn.sofifa.net/players/248/266/23_180.png
12,Tommaso Baldanzi,CF,19,75,89,2021 ~ 2027,Empoli,13.5,7,1842,https://cdn.sofifa.net/players/269/312/23_180.png
13,Loïs Openda,ST,22,78,85,2022 ~ 2027,Lens,29,33,1940,https://cdn.sofifa.net/players/243/580/23_180.png
14,Khvicha Kvaratskhelia,CAM,21,81,90,2022 ~ 2027,Napoli,58,53,1988,https://cdn.sofifa.net/players/247/635/23_180.png
15,Kaoru Mitoma,LM,25,79,82,2021 ~ 2025,Brighton & Hove Albion,23,68,2011,https://cdn.sofifa.net/players/255/565/23_180.png
16,Moisés Caicedo,CM,20,78,85,2021 ~ 2027,Brighton & Hove Albion,26,42,2007,https://cdn.sofifa.net/players/256/079/23_180.png
17,Arda Güler,RW,17,73,86,2021 ~ 2025,Fenerbahçe,7,6,1902,https://cdn.sofifa.net/players/264/309/23_180.png
18,Lucas Hernández,LB,26,84,85,2019 ~ 2024,FC Bayern München,43.5,82,2005,https://cdn.sofifa.net/players/220/814/23_180.png
19,Rasmus Højlund,ST,19,73,86,2022 ~ 2027,Atalanta,7.5,22,1738,https://cdn.sofifa.net/players/259/399/23_180.png
20,Min Jae Kim,CB,25,80,84,2022 ~ 2025,Napoli,26.5,52,1780,https://cdn.sofifa.net/players/237/086/23_180.png
21,Julián Álvarez,RW,22,79,86,2022 ~ 2027,Manchester City,36,110,2129,https://cdn.sofifa.net/players/246/191/23_180.png
22,Dominik Szoboszlai,LM,21,81,87,2021 ~ 2026,RB Leipzig,41.5,46,2024,https://cdn.sofifa.net/players/236/772/23_180.png
23,Oriol Romeu Vidal,CM,30,79,79,2022 ~ 2025,Girona,14.5,29,1912,https://cdn.sofifa.net/players/199/576/23_180.png
24,Francisco José García Torres,LB,22,76,85,2021 ~ 2025,Rayo Vallecano,16,16,1910,https://cdn.sofifa.net/players/246/606/23_180.png
25,Levi Colwill,CB,19,71,84,"Jun 30, 2023",Brighton & Hove Albion,4.2,25,1712,https://cdn.sofifa.net/players/262/859/23_180.png
26,Santiago Giménez,ST,21,77,85,2022 ~ 2026,Feyenoord,24,10,1991,https://cdn.sofifa.net/players/245/152/23_180.png
27,Romeo Lavia,CDM,18,70,85,2022 ~ 2027,Southampton,3.5,7,1770,https://cdn.sofifa.net/players/263/620/23_180.png
28,Gonçalo Matias Ramos,ST,21,80,87,2019 ~ 2025,Benfica,43,15,1997,https://cdn.sofifa.net/players/256/903/23_180.png
29,Rico Lewis,RB,17,70,87,2022 ~ 2024,Manchester City,3.8,2,1724,https://cdn.sofifa.net/players/271/574/23_180.png
30,Giorgio Scalvini,CB,18,73,86,2021 ~ 2023,Atalanta,6.5,9,1551,https://cdn.sofifa.net/players/265/188/23_180.png
31,Guido Rodríguez,CDM,27,81,82,2020 ~ 2024,Real Betis,26.5,30,1913,https://cdn.sofifa.net/players/225/659/23_180.png
32,Takefusa Kubo,CAM,21,76,84,2022 ~ 2027,Real Sociedad,17,24,1956,https://cdn.sofifa.net/players/237/681/23_180.png
33,Alexis Mac Allister,CDM,23,80,84,2019 ~ 2025,Brighton & Hove Albion,30,65,2160,https://cdn.sofifa.net/players/239/837/23_180.png
34,Fabio Miretti,CAM,18,74,88,2021 ~ 2026,Juventus,10,24,2011,https://cdn.sofifa.net/players/268/802/23_180.png
35,Alejandro Balde Martínez,LM,18,77,87,2021 ~ 2024,FC Barcelona,21,29,1831,https://cdn.sofifa.net/players/263/578/23_180.png
36,Alberto Moleiro González,CAM,18,76,88,2021 ~ 2026,Las Palmas,17.5,4,1859,https://cdn.sofifa.net/players/264/388/23_180.png
37,Daichi Kamada,CF,25,81,83,2017 ~ 2023,Eintracht Frankfurt,32.5,37,2048,https://cdn.sofifa.net/players/232/730/23_180.png
38,Xavi Simons,LW,19,78,88,2022 ~ 2027,PSV,30.5,12,2049,https://cdn.sofifa.net/players/245/367/23_180.png
39,Nicolò Fagioli,CAM,21,75,87,2019 ~ 2026,Juventus,13,49,2033,https://cdn.sofifa.net/players/260/823/23_180.png
40,Simone Pafundi,RM,16,67,86,2022 ~ 2025,Udinese,2.5,750,1822,https://cdn.sofifa.net/players/271/575/23_180.png
41,Youssoufa Moukoko,ST,17,76,89,2020 ~ 2026,Borussia Dortmund,17,9,1833,https://cdn.sofifa.net/players/240/833/23_180.png
42,Iván Fresneda Corraliza,RB,17,69,85,2021 ~ 2025,Real Valladolid,3.3,500,1705,https://cdn.sofifa.net/players/266/253/23_180.png
43,Victor Osimhen,ST,23,85,90,2020 ~ 2025,Napoli,82.5,86,2025,https://cdn.sofifa.net/players/232/293/23_180.png
44,Harry Kane,ST,28,89,89,2010 ~ 2024,Tottenham Hotspur,105.5,240,2197,https://cdn.sofifa.net/players/202/126/23_180.png
45,Diego Lainez,CAM,22,74,82,Free,Mexico,0,0,1861,https://cdn.sofifa.net/players/237/995/23_180.png
46,Darwin Núñez,LW,23,82,89,2022 ~ 2028,Liverpool,61.5,120,2094,https://cdn.sofifa.net/players/253/072/23_180.png
47,Jeremie Frimpong,RM,21,82,88,2021 ~ 2025,Bayer 04 Leverkusen,46,44,2054,https://cdn.sofifa.net/players/253/149/23_180.png
48,Mathys Tel,RM,17,67,86,2022 ~ 2027,FC Bayern München,2.6,4,1679,https://cdn.sofifa.net/players/268/421/23_180.png
49,Wout Weghorst,ST,29,78,78,"Jun 30, 2023",Manchester United,14,54,1899,https://cdn.sofifa.net/players/223/689/23_180.png
50,Rayan Cherki,RW,18,74,87,2019 ~ 2023,Olympique Lyonnais,10,16,1730,https://cdn.sofifa.net/players/251/570/23_180.png
51,Karim Adeyemi,ST,20,78,87,2022 ~ 2027,Borussia Dortmund,31,33,1928,https://cdn.sofifa.net/players/251/852/23_180.png
52,Marcus Rashford,ST,24,85,88,2014 ~ 2024,Manchester United,73.5,170,2134,https://cdn.sofifa.net/players/231/677/23_180.png
53,Diogo Meireles Costa,GK,22,82,87,2016 ~ 2026,Porto,37.5,13,1243,https://cdn.sofifa.net/players/234/577/23_180.png
54,João Pedro Junqueira de Jesus,CAM,20,73,84,2020 ~ 2025,Watford,6.5,28,1707,https://cdn.sofifa.net/players/252/042/23_180.png
55,Florian Wirtz,CM,19,83,91,2020 ~ 2027,Bayer 04 Leverkusen,78.5,42,2020,https://cdn.sofifa.net/players/256/630/23_180.png
56,Warren Zaïre-Emery,CDM,16,71,88,2022 ~ 2025,Paris Saint Germain,4.7,5,1903,https://cdn.sofifa.net/players/270/673/23_180.png
57,Mykhailo Mudryk,LW,21,75,85,2023 ~ 2031,Chelsea,12.5,57,1836,https://cdn.sofifa.net/players/246/340/23_180.png
58,Jobe Bellingham,CAM,16,61,82,2022 ~ 2025,Birmingham City,1,750,1678,https://cdn.sofifa.net/players/270/964/23_180.png
59,Joško Gvardiol,LB,20,82,89,2021 ~ 2027,RB Leipzig,56,44,2044,https://cdn.sofifa.net/players/251/517/23_180.png
60,Joshua Kimmich,CM,27,89,90,2015 ~ 2025,FC Bayern München,105.5,130,2292,https://cdn.sofifa.net/players/212/622/23_180.png
61,Gavin Bazunu,GK,20,71,85,2022 ~ 2027,Southampton,4,15,1147,https://cdn.sofifa.net/players/243/585/23_180.png
62,Dušan Vlahovi?,ST,22,84,91,2022 ~ 2026,Juventus,86.5,140,1961,https://cdn.sofifa.net/players/246/430/23_180.png
64,C. Ronaldo dos Santos Aveiro,ST,37,87,87,2023 ~ 2025,Al Nassr,27,72,2101,https://cdn.sofifa.net/players/020/801/23_180.png
65,Thiago Almada,CF,21,77,87,2022 ~ 2025,Atlanta United,23.5,7,2030,https://cdn.sofifa.net/players/245/371/23_180.png
66,Micky van de Ven,LB,21,77,85,2021 ~ 2027,VfL Wolfsburg,22,28,1808,https://cdn.sofifa.net/players/264/453/23_180.png
67,Marcus Thuram,ST,24,80,84,2019 ~ 2023,Borussia Mönchengladbach,30.5,34,1997,https://cdn.sofifa.net/players/228/093/23_180.png
68,Ryan Gravenberch,CM,20,79,88,2022 ~ 2027,FC Bayern München,38.5,45,2100,https://cdn.sofifa.net/players/246/104/23_180.png
69,Enzo Fernández,CDM,21,81,88,2023 ~ 2031,Chelsea,52,86,2177,https://cdn.sofifa.net/players/247/090/23_180.png
70,Carlos Alcaraz,LM,19,72,84,2023 ~ 2027,Southampton,5.5,20,1915,https://cdn.sofifa.net/players/256/402/23_180.png
71,Gonçalo Bernardo Inácio,CB,20,79,88,2019 ~ 2026,Sporting CP,36,11,1773,https://cdn.sofifa.net/players/257/179/23_180.png
72,Vinícius José de Oliveira Júnior,LW,21,86,92,2018 ~ 2025,Real Madrid,109,200,1987,https://cdn.sofifa.net/players/238/794/23_180.png
73,Erling Haaland,ST,21,90,94,2022 ~ 2027,Manchester City,176.5,240,2144,https://cdn.sofifa.net/players/239/085/23_180.png
74,Khéphren Thuram,CDM,21,79,85,2019 ~ 2025,Nice,28,35,2114,https://cdn.sofifa.net/players/247/246/23_180.png
75,Pablo Martín Páez Gavira,LW,17,80,89,2020 ~ 2026,FC Barcelona,43.5,18,2042,https://cdn.sofifa.net/players/264/240/23_180.png
76,António João Tavares Silva,CB,18,77,88,2022 ~ 2027,Benfica,20.5,4,1710,https://cdn.sofifa.net/players/270/086/23_180.png
77,Gift Emmanuel Orban,ST,19,70,81,2023 ~ 2027,Gent,3.5,8,1731,https://cdn.sofifa.net/players/273/564/23_180.png
78,Lautaro Martínez,ST,24,85,88,2018 ~ 2026,Inter,74.5,100,2159,https://cdn.sofifa.net/players/231/478/23_180.png
79,Lutsharel Geertruida,CDM,21,79,86,2017 ~ 2025,Feyenoord,34,10,1960,https://cdn.sofifa.net/players/241/187/23_180.png
80,Jules Koundé,CB,23,84,89,2022 ~ 2027,FC Barcelona,59.5,150,1947,https://cdn.sofifa.net/players/241/486/23_180.png
81,Piero Hincapié,LB,20,79,86,2021 ~ 2027,Bayer 04 Leverkusen,32,36,1864,https://cdn.sofifa.net/players/256/197/23_180.png
82,Jamal Musiala,CM,19,84,92,2020 ~ 2026,FC Bayern München,91,51,2042,https://cdn.sofifa.net/players/256/790/23_180.png
83,Destiny Udogie,LM,19,76,89,"Jun 30, 2023",Udinese,17,34,1977,https://cdn.sofifa.net/players/259/583/23_180.png
